Category: All categories

Week,윤석열: (South Korea),홍준표: (South Korea)
2020-11-08,21,2
2020-11-15,9,2
2020-11-22,27,2
2020-11-29,52,1
2020-12-06,37,1
2020-12-13,49,1
2020-12-20,52,3
2020-12-27,20,4
2021-01-03,10,3
2021-01-10,8,4
2021-01-17,12,3
2021-01-24,6,2
2021-01-31,5,1
2021-02-07,6,2
2021-02-14,2,1
2021-02-21,5,3
2021-02-28,47,4
2021-03-07,29,2
2021-03-14,14,3
2021-03-21,20,5
2021-03-28,18,2
2021-04-04,15,5
2021-04-11,11,4
2021-04-18,10,5
2021-04-25,9,3
2021-05-02,9,4
2021-05-09,6,6
2021-05-16,11,3
2021-05-23,11,1
2021-05-30,25,3
2021-06-06,20,2
2021-06-13,19,3
2021-06-20,74,8
2021-06-27,100,9
2021-07-04,55,2
2021-07-11,27,4
2021-07-18,28,3
2021-07-25,40,3
2021-08-01,41,4
2021-08-08,28,7
2021-08-15,19,10
2021-08-22,14,14
2021-08-29,18,15
2021-09-05,38,40
2021-09-12,27,33
2021-09-19,36,25
2021-09-26,32,26
2021-10-03,37,21
2021-10-10,36,32
2021-10-17,47,27
2021-10-24,29,35
2021-10-31,42,39
